overlap	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
10	7.8	9.2	9.7	11.3	12.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	7.8	9.2	9.7	11.3	12.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	7.8	9.1	9.7	11.3	12	NA	NA	15.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	7.8	9.1	9.7	11.3	12	13.7	14.4	15.4	16.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	7.8	9.1	9.6	11.3	12	13.7	14.4	NA	16.2	17.4	NA	18.7	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	7.8	9.1	9.6	11.3	12	13.7	14.4	15.4	16.2	17.3	18.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	7.7	9.1	9.6	11.2	12	13.6	14.3	15.3	16.2	17.3	NA	18.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	7.7	9.1	9.6	11.2	12	13.6	14.3	15.3	16.2	17.3	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	7.7	9.1	9.6	11.2	11.9	13.6	14.3	15.3	16.1	17.2	18	18.5	19.3	NA	NA	NA	NA	NA	NA	NA	NA
19	7.7	9	9.5	11.2	11.9	13.6	14.3	15.3	16.1	17.2	17.9	18.5	19.2	NA	NA	NA	NA	NA	NA	NA	NA
20	7.7	9	9.5	11.2	11.9	13.5	14.2	15.2	16.1	17.2	17.9	18.5	19.2	NA	NA	NA	NA	NA	NA	NA	NA
21	7.6	9	9.5	11.1	11.8	13.5	14.2	15.2	16	17.1	17.8	18.4	19.1	19.8	20.3	NA	21.2	NA	NA	NA	NA
22	7.6	8.9	9.5	11.1	11.8	13.5	14.2	15.1	16	17.1	17.8	18.4	19	NA	NA	20.6	NA	NA	NA	NA	NA
23	7.6	8.9	9.5	11.1	11.8	13.5	14.2	15.1	16	17.1	17.8	18.3	19	19.7	NA	20.6	NA	NA	NA	NA	NA
24	7.6	8.9	9.4	11.1	11.8	13.4	NA	15.1	15.9	17	17.8	18.3	19	19.7	NA	NA	21	NA	NA	NA	NA
25	7.6	8.9	9.4	11	11.8	13.4	14.1	15.1	15.9	17	17.7	18.3	19	19.7	20.2	20.5	21	21.4	NA	NA	NA
26	7.6	8.9	9.4	11	11.7	13.4	14.1	15	15.9	17	17.7	18.2	18.9	NA	20.1	NA	20.9	NA	NA	NA	NA
27	7.5	8.9	9.4	11	11.7	13.4	14.1	15	15.8	16.9	17.7	18.2	18.9	19.6	20.1	20.5	20.9	21.3	NA	NA	NA
28	7.5	8.9	9.4	11	11.7	13.3	14	15	15.8	16.9	17.6	18.2	18.9	19.5	20.1	20.4	NA	21.3	NA	NA	NA
29	7.5	8.8	9.4	11	11.7	13.3	14	15	15.8	16.9	17.6	18.2	18.9	19.5	20	20.4	20.8	21.3	21.5	21.8	NA
30	7.5	8.8	9.3	11	11.7	13.3	14	15	15.8	16.9	17.6	18.1	18.8	19.5	20	20.4	20.8	21.2	NA	NA	NA
31	7.5	8.8	9.3	11	11.7	13.3	14	15	15.8	16.9	17.6	18.1	18.8	19.5	20	20.4	20.8	21.2	21.5	21.7	NA
32	7.5	8.8	9.3	10.9	11.7	13.3	14	14.9	15.7	16.8	17.6	18.1	18.8	19.4	20	20.3	20.7	21.1	21.4	21.6	NA
33	7.5	8.8	9.3	10.9	11.6	13.3	14	14.9	15.7	16.8	17.5	18.1	18.8	19.4	19.9	NA	20.7	21.1	21.4	NA	NA
34	7.5	8.8	9.3	10.9	11.6	13.2	13.9	14.9	15.7	16.8	17.5	18	18.7	19.4	19.9	20.3	20.7	21.1	21.3	21.5	NA
35	7.5	8.8	9.3	10.9	11.6	13.2	13.9	14.9	15.7	16.8	17.5	18	18.7	19.3	19.9	20.2	20.6	21	21.3	NA	NA
36	7.5	8.8	9.3	10.9	11.6	13.2	13.9	14.8	15.7	16.7	17.4	18	18.7	19.3	19.8	20.2	20.6	21	21.2	NA	21.8
37	7.4	8.8	9.3	10.9	11.6	13.2	13.9	14.8	15.6	16.7	17.4	17.9	18.6	19.2	19.7	20.1	20.4	20.8	21.1	NA	NA
38	7.4	8.8	9.2	10.9	11.6	13.2	13.8	14.8	15.6	16.7	17.3	17.9	18.5	19.2	19.7	20	NA	20.8	21	21.2	21.5
